date,category,amount,customer_id
2024-05-06,salary_expense,-24800,
2024-05-06,marketing_expense,-5600,
2024-05-06,software_expense,-2250,
2024-05-06,cogs,-1550,
2024-05-06,subscription_revenue,2600.0,byteforge
2024-05-06,subscription_revenue,2121.0,launchdeck
2024-05-13,salary_expense,-24980,
2024-05-13,marketing_expense,-5380,
2024-05-13,software_expense,-2325,
2024-05-13,cogs,-1670,
2024-05-13,subscription_revenue,2678.0,byteforge
2024-05-13,subscription_revenue,2184.0,launchdeck
2024-05-13,subscription_revenue,1785.0,pixelops
2024-05-20,salary_expense,-25160,
2024-05-20,marketing_expense,-5160,
2024-05-20,software_expense,-2250,
2024-05-20,cogs,-1790,
2024-05-20,subscription_revenue,2756.0,byteforge
2024-05-20,subscription_revenue,2247.0,launchdeck
2024-05-20,subscription_revenue,1836.0,pixelops
2024-05-20,subscription_revenue,1526.0,relaycloud
2024-05-27,salary_expense,-25340,
2024-05-27,marketing_expense,-5720,
2024-05-27,software_expense,-2325,
2024-05-27,cogs,-1910,
2024-05-27,subscription_revenue,2834.0,byteforge
2024-05-27,subscription_revenue,2310.0,launchdeck
2024-05-27,subscription_revenue,1887.0,pixelops
2024-05-27,subscription_revenue,1568.0,relaycloud
2024-05-27,subscription_revenue,1950,meshgrid_dev
2024-06-03,salary_expense,-25520,
2024-06-03,marketing_expense,-5500,
2024-06-03,software_expense,-2250,
2024-06-03,cogs,-2030,
2024-06-03,subscription_revenue,2912.0,byteforge
2024-06-03,subscription_revenue,2373.0,launchdeck
2024-06-03,subscription_revenue,1938.0,pixelops
2024-06-03,subscription_revenue,1610.0,relaycloud
2024-06-03,subscription_revenue,1392.0,graphlane
2024-06-10,salary_expense,-25700,
2024-06-10,marketing_expense,-5280,
2024-06-10,software_expense,-2325,
2024-06-10,cogs,-2150,
2024-06-10,subscription_revenue,2990.0,byteforge
2024-06-10,subscription_revenue,2436.0,launchdeck
2024-06-10,subscription_revenue,1989.0,pixelops
2024-06-10,subscription_revenue,1652.0,relaycloud
2024-06-10,subscription_revenue,1428.0,graphlane
2024-06-10,subscription_revenue,2400,notion_lab
2024-06-17,salary_expense,-25880,
2024-06-17,marketing_expense,-5840,
2024-06-17,software_expense,-2250,
2024-06-17,cogs,-2270,
2024-06-17,subscription_revenue,3068.0,byteforge
2024-06-17,subscription_revenue,2499.0,launchdeck
2024-06-17,subscription_revenue,2040.0,pixelops
2024-06-17,subscription_revenue,1694.0,relaycloud
2024-06-17,subscription_revenue,1464.0,graphlane
2024-06-24,salary_expense,-26060,
2024-06-24,marketing_expense,-5620,
2024-06-24,software_expense,-2325,
2024-06-24,cogs,-2390,
2024-06-24,subscription_revenue,3146.0,byteforge
2024-06-24,subscription_revenue,2562.0,launchdeck
2024-06-24,subscription_revenue,2091.0,pixelops
2024-06-24,subscription_revenue,1736.0,relaycloud
2024-06-24,subscription_revenue,1500.0,graphlane
2024-06-24,churn_refund,-700,relaycloud
