date,category,amount,customer_id
2024-03-04,salary_expense,-30100,
2024-03-04,marketing_expense,-6100,
2024-03-04,software_expense,-2600,
2024-03-04,cogs,-2050,
2024-03-04,subscription_revenue,5300.0,aurora_clinic
2024-03-04,subscription_revenue,4747.0,river_hospital
2024-03-11,salary_expense,-30280,
2024-03-11,marketing_expense,-5880,
2024-03-11,software_expense,-2675,
2024-03-11,cogs,-2170,
2024-03-11,subscription_revenue,5459.0,aurora_clinic
2024-03-11,subscription_revenue,4888.0,river_hospital
2024-03-18,salary_expense,-30460,
2024-03-18,marketing_expense,-5660,
2024-03-18,software_expense,-2600,
2024-03-18,cogs,-2290,
2024-03-18,subscription_revenue,5618.0,aurora_clinic
2024-03-18,subscription_revenue,5029.0,river_hospital
2024-03-18,subscription_revenue,3672.0,northcare_group
2024-03-25,salary_expense,-30640,
2024-03-25,marketing_expense,-6220,
2024-03-25,software_expense,-2675,
2024-03-25,cogs,-2410,
2024-03-25,subscription_revenue,5777.0,aurora_clinic
2024-03-25,subscription_revenue,5170.0,river_hospital
2024-03-25,subscription_revenue,3774.0,northcare_group
2024-03-25,subscription_revenue,2600,triage_network
2024-04-01,salary_expense,-30820,
2024-04-01,marketing_expense,-6000,
2024-04-01,software_expense,-2600,
2024-04-01,cogs,-2530,
2024-04-01,subscription_revenue,5936.0,aurora_clinic
2024-04-01,subscription_revenue,5311.0,river_hospital
2024-04-01,subscription_revenue,3876.0,northcare_group
2024-04-01,subscription_revenue,3335.0,sage_telemed
2024-04-08,salary_expense,-31000,
2024-04-08,marketing_expense,-5780,
2024-04-08,software_expense,-2675,
2024-04-08,cogs,-2650,
2024-04-08,subscription_revenue,6095.0,aurora_clinic
2024-04-08,subscription_revenue,5452.0,river_hospital
2024-04-08,subscription_revenue,3978.0,northcare_group
2024-04-08,subscription_revenue,3422.0,sage_telemed
2024-04-15,salary_expense,-31180,
2024-04-15,marketing_expense,-6340,
2024-04-15,software_expense,-2600,
2024-04-15,cogs,-2770,
2024-04-15,subscription_revenue,6254.0,aurora_clinic
2024-04-15,subscription_revenue,5593.0,river_hospital
2024-04-15,subscription_revenue,4080.0,northcare_group
2024-04-15,subscription_revenue,3509.0,sage_telemed
2024-04-15,churn_refund,-1200,sage_telemed
2024-04-22,salary_expense,-31360,
2024-04-22,marketing_expense,-6120,
2024-04-22,software_expense,-2675,
2024-04-22,cogs,-2890,
2024-04-22,subscription_revenue,6413.0,aurora_clinic
2024-04-22,subscription_revenue,5734.0,river_hospital
2024-04-22,subscription_revenue,4182.0,northcare_group
2024-04-22,subscription_revenue,3596.0,sage_telemed
