date,category,amount,customer_id
2024-04-01,salary_expense,-28600,
2024-04-01,marketing_expense,-8200,
2024-04-01,software_expense,-2400,
2024-04-01,cogs,-4300,
2024-04-01,subscription_revenue,3800.0,delta_logistics
2024-04-01,subscription_revenue,3282.5,harbor_freight
2024-04-08,salary_expense,-28780,
2024-04-08,marketing_expense,-7980,
2024-04-08,software_expense,-2475,
2024-04-08,cogs,-4420,
2024-04-08,subscription_revenue,3914.0,delta_logistics
2024-04-08,subscription_revenue,3380.0,harbor_freight
2024-04-08,subscription_revenue,2835.0,summit_supply
2024-04-15,salary_expense,-28960,
2024-04-15,marketing_expense,-7760,
2024-04-15,software_expense,-2400,
2024-04-15,cogs,-4540,
2024-04-15,subscription_revenue,4028.0,delta_logistics
2024-04-15,subscription_revenue,3477.5,harbor_freight
2024-04-15,subscription_revenue,2916.0,summit_supply
2024-04-22,salary_expense,-29140,
2024-04-22,marketing_expense,-8320,
2024-04-22,software_expense,-2475,
2024-04-22,cogs,-4660,
2024-04-22,subscription_revenue,4142.0,delta_logistics
2024-04-22,subscription_revenue,3575.0,harbor_freight
2024-04-22,subscription_revenue,2997.0,summit_supply
2024-04-22,subscription_revenue,2464.0,iron_route
2024-04-29,salary_expense,-29320,
2024-04-29,marketing_expense,-8100,
2024-04-29,software_expense,-2400,
2024-04-29,cogs,-4780,
2024-04-29,subscription_revenue,4256.0,delta_logistics
2024-04-29,subscription_revenue,3672.5,harbor_freight
2024-04-29,subscription_revenue,3078.0,summit_supply
2024-04-29,subscription_revenue,2530.0,iron_route
2024-04-29,tax_payment,-6400,
2024-05-06,salary_expense,-29500,
2024-05-06,marketing_expense,-7880,
2024-05-06,software_expense,-2475,
2024-05-06,cogs,-4900,
2024-05-06,subscription_revenue,4370.0,delta_logistics
2024-05-06,subscription_revenue,3770.0,harbor_freight
2024-05-06,subscription_revenue,3159.0,summit_supply
2024-05-06,subscription_revenue,2596.0,iron_route
2024-05-06,subscription_revenue,1900,rapid_cart
2024-05-13,salary_expense,-29680,
2024-05-13,marketing_expense,-8440,
2024-05-13,software_expense,-2400,
2024-05-13,cogs,-5020,
2024-05-13,subscription_revenue,4484.0,delta_logistics
2024-05-13,subscription_revenue,3867.5,harbor_freight
2024-05-13,subscription_revenue,3240.0,summit_supply
2024-05-13,subscription_revenue,2662.0,iron_route
2024-05-13,churn_refund,-950,iron_route
2024-05-20,salary_expense,-29860,
2024-05-20,marketing_expense,-8220,
2024-05-20,software_expense,-2475,
2024-05-20,cogs,-5140,
2024-05-20,subscription_revenue,4598.0,delta_logistics
2024-05-20,subscription_revenue,3965.0,harbor_freight
2024-05-20,subscription_revenue,3321.0,summit_supply
2024-05-20,subscription_revenue,2728.0,iron_route
