date,category,amount,customer_id
2024-01-01,salary_expense,-26500,
2024-01-01,marketing_expense,-7200,
2024-01-01,software_expense,-2100,
2024-01-01,cogs,-1850,
2024-01-01,subscription_revenue,4200.0,atlas_bio
2024-01-01,subscription_revenue,3636.0,northstar_capital
2024-01-08,salary_expense,-26680,
2024-01-08,marketing_expense,-6980,
2024-01-08,software_expense,-2175,
2024-01-08,cogs,-1970,
2024-01-08,subscription_revenue,4326.0,atlas_bio
2024-01-08,subscription_revenue,3744.0,northstar_capital
2024-01-08,subscription_revenue,2205.0,signalforge
2024-01-15,salary_expense,-26860,
2024-01-15,marketing_expense,-6760,
2024-01-15,software_expense,-2100,
2024-01-15,cogs,-2090,
2024-01-15,subscription_revenue,4452.0,atlas_bio
2024-01-15,subscription_revenue,3852.0,northstar_capital
2024-01-15,subscription_revenue,2268.0,signalforge
2024-01-22,salary_expense,-27040,
2024-01-22,marketing_expense,-7320,
2024-01-22,software_expense,-2175,
2024-01-22,cogs,-2210,
2024-01-22,subscription_revenue,4578.0,atlas_bio
2024-01-22,subscription_revenue,3960.0,northstar_capital
2024-01-22,subscription_revenue,2331.0,signalforge
2024-01-22,subscription_revenue,2912.0,vertex_ops
2024-01-29,salary_expense,-27220,
2024-01-29,marketing_expense,-7100,
2024-01-29,software_expense,-2100,
2024-01-29,cogs,-2330,
2024-01-29,subscription_revenue,4704.0,atlas_bio
2024-01-29,subscription_revenue,4068.0,northstar_capital
2024-01-29,subscription_revenue,2394.0,signalforge
2024-01-29,subscription_revenue,2990.0,vertex_ops
2024-02-05,salary_expense,-27400,
2024-02-05,marketing_expense,-6880,
2024-02-05,software_expense,-2175,
2024-02-05,cogs,-2450,
2024-02-05,subscription_revenue,4830.0,atlas_bio
2024-02-05,subscription_revenue,4176.0,northstar_capital
2024-02-05,subscription_revenue,2457.0,signalforge
2024-02-05,subscription_revenue,3068.0,vertex_ops
2024-02-05,churn_refund,-1850,signalforge
2024-02-12,salary_expense,-27580,
2024-02-12,marketing_expense,-7440,
2024-02-12,software_expense,-2100,
2024-02-12,cogs,-2570,
2024-02-12,subscription_revenue,4956.0,atlas_bio
2024-02-12,subscription_revenue,4284.0,northstar_capital
2024-02-12,subscription_revenue,2520.0,signalforge
2024-02-12,subscription_revenue,3146.0,vertex_ops
2024-02-12,subscription_revenue,3200,lighthouse_labs
2024-02-19,salary_expense,-27760,
2024-02-19,marketing_expense,-7220,
2024-02-19,software_expense,-2175,
2024-02-19,cogs,-2690,
2024-02-19,subscription_revenue,5082.0,atlas_bio
2024-02-19,subscription_revenue,4392.0,northstar_capital
2024-02-19,subscription_revenue,2583.0,signalforge
2024-02-19,subscription_revenue,3224.0,vertex_ops
